date,state,district,pincode,demo_age_5_17,demo_age_17_plus
2025-03-01,Bihar,Samastipur,848211,157,1387
2025-03-01,Bihar,Katihar,854116,143,1866
2025-03-01,Bihar,Gaya,824232,351,3442
2025-03-01,Bihar,Kishanganj,855108,116,2118
2025-03-01,Bihar,Munger,811202,91,1349
2025-03-01,Bihar,Bhagalpur,813205,146,1375
2025-03-01,Bihar,Aurangabad,824127,12,58
2025-03-01,Bihar,Nalanda,803113,43,568
2025-03-01,Bihar,Patna,800020,82,758
2025-03-01,Bihar,East Champaran,845304,143,1237
2025-03-01,Bihar,Begusarai,851204,36,260
2025-03-01,Bihar,Darbhanga,847337,68,677
2025-03-01,Bihar,Katihar,854101,135,1510
2025-03-01,Bihar,Araria,854304,15,142
2025-03-01,Bihar,Samastipur,848160,84,718
2025-03-01,Bihar,East Champaran,845422,121,1452
2025-03-01,Bihar,Supaul,852131,143,2578
2025-03-01,Bihar,Madhubani,847409,95,1049
2025-03-01,Bihar,Muzaffarpur,843147,12,65
2025-03-01,Bihar,Vaishali,844131,10,101
2025-03-01,Bihar,Vaishali,844124,81,616
2025-03-01,Bihar,East Champaran,845302,217,1759
2025-03-01,Bihar,Arwal,804402,67,605
2025-03-01,Bihar,Lakhisarai,811311,233,2427
2025-03-01,Bihar,Vaishali,844503,115,1213
2025-03-01,Bihar,Bhojpur,802203,98,1269
2025-03-01,Bihar,Lakhisarai,811107,40,452
2025-03-01,Bihar,Khagaria,851215,41,345
2025-03-01,Bihar,Purnia,855115,35,662
2025-03-01,Bihar,Madhepura,852113,90,1040
2025-03-01,Bihar,Patna,800006,66,641
2025-03-01,Bihar,Araria,854334,266,3740
2025-03-01,Bihar,Gopalganj,841505,59,631
2025-03-01,Bihar,Purnia,854202,144,1586
2025-03-01,Bihar,Sheohar,843128,119,1035
2025-03-01,Bihar,Jehanabad,804405,43,452
2025-03-01,Bihar,Bhojpur,802166,24,402
2025-03-01,Bihar,Muzaffarpur,844127,112,1353
2025-03-01,Bihar,Darbhanga,847301,91,1549
2025-03-01,Bihar,Bhagalpur,812002,72,385
2025-03-01,Bihar,Buxar,802102,22,250
2025-03-01,Bihar,Madhubani,847109,29,475
2025-03-01,Bihar,Gaya,803116,13,213
2025-03-01,Bihar,Patna,801109,176,1287
2025-03-01,Bihar,Vaishali,844508,137,1270
2025-03-01,Bihar,Supaul,852110,28,459
2025-03-01,Bihar,Supaul,852214,139,1438
2025-03-01,Bihar,Aurangabad,824122,75,705
2025-03-01,Bihar,Madhubani,847407,12,92
2025-03-01,Bihar,Buxar,802125,39,512
2025-03-01,Bihar,Nalanda,803202,20,116
2025-03-01,Bihar,Munger,811211,138,1568
2025-03-01,Bihar,Nalanda,803108,53,676
2025-03-01,Bihar,Saran,841402,28,388
