state,district,date,age_0_5,age_5_17,age_18_greater
Bihar,Araria,2025-06-01,850,787,39
Bihar,Araria,2025-06-09,115,74,3
Bihar,Araria,2025-06-10,106,92,2
Bihar,Araria,2025-06-11,54,42,4
Bihar,Araria,2025-06-12,76,58,2
Bihar,Araria,2025-06-13,87,51,6
Bihar,Araria,2025-06-14,56,34,6
Bihar,Araria,2025-06-15,20,25,2
Bihar,Araria,2025-06-16,117,92,6
Bihar,Araria,2025-06-17,136,137,9
Bihar,Araria,2025-06-18,100,81,1
Bihar,Araria,2025-06-19,134,111,3
Bihar,Araria,2025-07-01,166,108,14
Bihar,Araria,2025-09-01,158,90,1
Bihar,Araria,2025-09-02,137,112,1
Bihar,Araria,2025-09-03,103,91,1
Bihar,Araria,2025-09-04,104,67,0
Bihar,Araria,2025-09-05,39,14,1
Bihar,Araria,2025-09-06,164,67,0
Bihar,Araria,2025-09-07,20,14,0
Bihar,Araria,2025-09-08,147,68,0
Bihar,Araria,2025-09-09,127,66,0
Bihar,Araria,2025-09-10,145,74,0
Bihar,Araria,2025-09-11,153,63,1
Bihar,Araria,2025-09-12,133,73,0
Bihar,Araria,2025-09-13,76,52,2
Bihar,Araria,2025-09-14,9,6,0
Bihar,Araria,2025-09-15,71,37,0
Bihar,Araria,2025-09-16,65,46,0
Bihar,Araria,2025-09-17,76,33,0
Bihar,Araria,2025-09-18,95,44,1
Bihar,Araria,2025-09-19,138,45,1
Bihar,Araria,2025-09-20,109,43,0
Bihar,Araria,2025-09-21,6,2,1
Bihar,Araria,2025-09-22,112,38,0
Bihar,Araria,2025-09-23,114,62,2
Bihar,Araria,2025-09-24,155,70,0
Bihar,Araria,2025-09-25,141,58,1
Bihar,Araria,2025-09-26,117,42,0
Bihar,Araria,2025-09-27,43,14,0
Bihar,Araria,2025-09-28,1,0,0
Bihar,Araria,2025-09-29,12,4,3
Bihar,Araria,2025-09-30,0,3,1
Bihar,Araria,2025-10-13,266,125,2
Bihar,Araria,2025-10-15,212,90,8
Bihar,Araria,2025-10-16,149,78,1
Bihar,Araria,2025-10-17,541,218,3
Bihar,Araria,2025-10-18,253,129,2
Bihar,Araria,2025-10-19,327,101,1
Bihar,Araria,2025-10-20,91,65,0
Bihar,Araria,2025-10-21,26,28,0
Bihar,Araria,2025-10-22,2,0,0
Bihar,Araria,2025-10-23,2,0,1
Bihar,Araria,2025-10-24,167,92,0
Bihar,Araria,2025-10-25,192,94,1
Bihar,Araria,2025-10-26,67,58,0
Bihar,Araria,2025-10-27,49,58,1
Bihar,Araria,2025-10-28,74,40,0
Bihar,Araria,2025-10-29,79,31,0
Bihar,Araria,2025-10-30,170,83,2
Bihar,Araria,2025-10-31,114,72,4
Bihar,Araria,2025-11-01,12,17,0
Bihar,Araria,2025-11-02,135,88,0
Bihar,Araria,2025-11-03,48,29,1
Bihar,Araria,2025-11-04,0,1,0
Bihar,Araria,2025-11-05,258,154,0
Bihar,Araria,2025-11-06,95,63,1
Bihar,Araria,2025-11-07,81,42,0
Bihar,Araria,2025-11-08,90,85,1
Bihar,Araria,2025-11-09,109,42,2
Bihar,Araria,2025-11-10,145,80,2
