state,date,age_0_5,age_5_17,age_18_greater
Bihar,2025-03-09,206,633,166
Bihar,2025-03-15,69,292,87
Bihar,2025-03-20,63,119,65
Bihar,2025-03-23,34,41,10
Bihar,2025-03-27,144,307,116
Bihar,2025-04-01,12551,15361,1530
Bihar,2025-05-01,13251,17159,1241
Bihar,2025-06-01,16160,28223,2003
Bihar,2025-06-09,3157,5635,112
Bihar,2025-06-10,3152,5823,136
Bihar,2025-06-11,1386,2699,105
Bihar,2025-06-12,2163,4515,171
Bihar,2025-06-13,1963,4027,155
Bihar,2025-06-14,1593,3159,133
Bihar,2025-06-15,536,849,78
Bihar,2025-06-16,2486,5631,234
Bihar,2025-06-17,3375,7715,233
Bihar,2025-06-18,2235,4556,160
Bihar,2025-06-19,3174,7061,216
Bihar,2025-07-01,19008,38019,2247
Bihar,2025-09-01,3063,4839,46
Bihar,2025-09-02,3354,5013,58
Bihar,2025-09-03,3128,4337,73
Bihar,2025-09-04,2526,3548,43
Bihar,2025-09-05,1011,1430,33
Bihar,2025-09-06,2948,3926,49
Bihar,2025-09-07,711,813,17
Bihar,2025-09-08,3659,4159,51
Bihar,2025-09-09,3710,4513,36
Bihar,2025-09-10,3617,4029,59
Bihar,2025-09-11,2870,3774,41
Bihar,2025-09-12,3169,4101,36
Bihar,2025-09-13,1953,2446,36
Bihar,2025-09-14,617,571,15
Bihar,2025-09-15,1992,2442,25
Bihar,2025-09-16,2155,2900,34
Bihar,2025-09-17,1410,1680,27
Bihar,2025-09-18,2531,2980,43
Bihar,2025-09-19,2410,2985,39
Bihar,2025-09-20,1934,2846,42
Bihar,2025-09-21,197,432,17
Bihar,2025-09-22,1886,2693,40
Bihar,2025-09-23,2569,3176,41
Bihar,2025-09-24,3192,3056,31
Bihar,2025-09-25,3057,2822,35
Bihar,2025-09-26,2125,2060,15
Bihar,2025-09-27,811,1024,18
Bihar,2025-09-28,157,273,14
Bihar,2025-09-29,167,565,19
Bihar,2025-09-30,11,150,9
Bihar,2025-10-13,5542,5769,218
Bihar,2025-10-15,3995,4717,269
Bihar,2025-10-16,2373,3178,290
Bihar,2025-10-17,7034,6388,83
Bihar,2025-10-18,4487,5157,130
Bihar,2025-10-19,4634,4230,67
Bihar,2025-10-20,1100,1817,16
Bihar,2025-10-21,391,768,8
Bihar,2025-10-22,8,11,4
Bihar,2025-10-23,14,9,110
Bihar,2025-10-24,2514,3042,155
Bihar,2025-10-25,3594,3774,57
Bihar,2025-10-26,1444,3417,74
Bihar,2025-10-27,1053,2340,52
Bihar,2025-10-28,1483,1841,26
Bihar,2025-10-29,1087,972,32
Bihar,2025-10-30,2897,2909,79
Bihar,2025-10-31,2573,3288,89
Bihar,2025-11-01,440,1197,40
Bihar,2025-11-02,3949,4216,12
Bihar,2025-11-03,1209,1881,57
Bihar,2025-11-04,54,58,1
Bihar,2025-11-05,5131,6241,75
Bihar,2025-11-06,1782,3458,95
Bihar,2025-11-07,1463,2214,54
Bihar,2025-11-08,2438,3138,63
Bihar,2025-11-09,2206,2183,30
Bihar,2025-11-10,3616,3875,62
Bihar,2025-11-11,1706,2215,64
Bihar,2025-11-12,1379,2559,68
Bihar,2025-11-13,790,1757,43
Bihar,2025-11-14,1450,1969,40
Bihar,2025-11-15,5515,5117,60
Bihar,2025-11-16,1654,2391,40
Bihar,2025-11-17,971,1164,58
Bihar,2025-11-18,3158,3024,58
Bihar,2025-11-19,6299,4834,51
Bihar,2025-11-25,2249,2952,68
Bihar,2025-12-15,9473,9983,43
Bihar,2025-12-21,2060,34,0
Bihar,2025-12-22,10459,151,0
Bihar,2025-12-23,3125,40,3
Bihar,2025-12-24,2274,3024,148
Bihar,2025-12-25,1611,6390,144
Bihar,2025-12-26,3046,3814,20
Bihar,2025-12-27,2639,4091,27
Bihar,2025-12-28,2830,3240,7
Bihar,2025-12-29,2832,3106,28
Bihar,2025-12-31,4803,14601,350
Bihar,2026-01-01,6009,8918,154
Bihar,2026-01-02,3825,5696,142
Bihar,2026-01-03,252,1859,40
