state,district,date,demo_age_5_17,demo_age_17_plus
Bihar,Araria,2025-03-01,1884,22369
Bihar,Araria,2025-09-01,65,1129
Bihar,Araria,2025-09-02,68,1226
Bihar,Araria,2025-09-03,40,893
Bihar,Araria,2025-09-04,69,1641
Bihar,Araria,2025-09-05,50,1455
Bihar,Araria,2025-09-06,84,1965
Bihar,Araria,2025-09-07,28,1046
Bihar,Araria,2025-09-08,91,2608
Bihar,Araria,2025-09-09,81,2570
Bihar,Araria,2025-09-10,69,2597
Bihar,Araria,2025-09-11,108,2600
Bihar,Araria,2025-09-12,80,2555
Bihar,Araria,2025-09-13,62,1500
Bihar,Araria,2025-09-14,23,737
Bihar,Araria,2025-09-15,74,1683
Bihar,Araria,2025-09-16,61,1382
Bihar,Araria,2025-09-17,65,1221
Bihar,Araria,2025-09-18,77,1720
Bihar,Araria,2025-09-19,68,2046
Bihar,Araria,2025-09-20,72,1999
Bihar,Araria,2025-10-13,83,2447
Bihar,Araria,2025-10-15,113,3205
Bihar,Araria,2025-10-16,129,3452
Bihar,Araria,2025-10-17,77,2873
Bihar,Araria,2025-10-18,110,2478
Bihar,Araria,2025-10-19,118,2620
Bihar,Araria,2025-10-20,38,813
Bihar,Araria,2025-10-21,56,541
Bihar,Araria,2025-10-22,2,30
Bihar,Araria,2025-10-23,21,105
Bihar,Araria,2025-10-24,124,2689
Bihar,Araria,2025-10-25,78,1227
Bihar,Araria,2025-10-26,65,1911
Bihar,Araria,2025-10-27,43,854
Bihar,Araria,2025-10-28,35,464
Bihar,Araria,2025-10-29,70,1063
Bihar,Araria,2025-10-30,53,866
Bihar,Araria,2025-10-31,84,2358
Bihar,Araria,2025-11-01,50,1127
Bihar,Araria,2025-11-02,62,865
Bihar,Araria,2025-11-03,158,2453
Bihar,Araria,2025-11-04,99,2070
Bihar,Araria,2025-11-05,86,1222
Bihar,Araria,2025-11-06,72,1129
Bihar,Araria,2025-11-07,48,1183
Bihar,Araria,2025-11-08,31,877
Bihar,Araria,2025-11-09,12,343
Bihar,Araria,2025-11-10,33,781
Bihar,Araria,2025-11-11,8,229
Bihar,Araria,2025-11-12,21,590
Bihar,Araria,2025-11-13,61,758
Bihar,Araria,2025-11-14,48,550
Bihar,Araria,2025-11-15,42,816
Bihar,Araria,2025-11-16,35,286
Bihar,Araria,2025-11-17,54,843
Bihar,Araria,2025-11-18,33,707
Bihar,Araria,2025-11-19,39,807
Bihar,Araria,2025-11-25,9,64
Bihar,Araria,2025-11-26,21,492
Bihar,Araria,2025-11-27,52,991
Bihar,Araria,2025-11-28,52,570
Bihar,Araria,2025-11-29,37,623
Bihar,Araria,2025-12-01,94,1310
Bihar,Araria,2025-12-02,61,976
Bihar,Araria,2025-12-03,57,984
Bihar,Araria,2025-12-04,58,1090
Bihar,Araria,2025-12-05,51,938
Bihar,Araria,2025-12-06,51,967
Bihar,Araria,2025-12-07,18,289
Bihar,Araria,2025-12-08,59,1086
Bihar,Araria,2025-12-09,59,1047
Bihar,Araria,2025-12-10,58,1074
Bihar,Araria,2025-12-11,50,972
Bihar,Araria,2025-12-12,48,934
Bihar,Araria,2025-12-13,26,525
Bihar,Araria,2025-12-14,16,278
Bihar,Araria,2025-12-15,33,724
Bihar,Araria,2025-12-16,38,1174
Bihar,Araria,2025-12-17,53,1111
Bihar,Araria,2025-12-18,59,916
Bihar,Araria,2025-12-19,41,775
Bihar,Araria,2025-12-20,35,433
Bihar,Araria,2025-12-21,9,169
Bihar,Araria,2025-12-22,36,647
Bihar,Araria,2025-12-23,33,851
Bihar,Araria,2025-12-24,38,809
Bihar,Araria,2025-12-25,15,436
Bihar,Araria,2025-12-26,38,743
Bihar,Araria,2025-12-27,39,756
Bihar,Araria,2025-12-28,35,254
Bihar,Araria,2025-12-29,60,743
Bihar,Araria,2025-12-31,50,1119
Bihar,Araria,2026-01-01,10,399
Bihar,Araria,2026-01-02,37,411
Bihar,Araria,2026-01-03,12,222
Bihar,Arwal,2025-03-01,415,4594
Bihar,Arwal,2025-09-01,14,147
Bihar,Arwal,2025-09-02,22,252
Bihar,Arwal,2025-09-03,7,49
Bihar,Arwal,2025-09-04,29,403
Bihar,Arwal,2025-09-05,13,226
Bihar,Arwal,2025-09-06,21,319
Bihar,Arwal,2025-09-07,5,86
Bihar,Arwal,2025-09-08,33,343
Bihar,Arwal,2025-09-09,24,392
Bihar,Arwal,2025-09-10,23,400
Bihar,Arwal,2025-09-11,22,370
Bihar,Arwal,2025-09-12,28,492
Bihar,Arwal,2025-09-13,14,202
Bihar,Arwal,2025-09-14,7,75
Bihar,Arwal,2025-09-15,16,328
Bihar,Arwal,2025-09-16,27,378
Bihar,Arwal,2025-09-17,11,174
Bihar,Arwal,2025-09-18,25,495
Bihar,Arwal,2025-09-19,15,465
Bihar,Arwal,2025-09-20,20,455
Bihar,Arwal,2025-10-13,15,215
Bihar,Arwal,2025-10-15,45,387
Bihar,Arwal,2025-10-16,54,427
Bihar,Arwal,2025-10-17,34,247
Bihar,Arwal,2025-10-18,21,200
Bihar,Arwal,2025-10-19,31,208
Bihar,Arwal,2025-10-20,8,36
Bihar,Arwal,2025-10-21,10,64
Bihar,Arwal,2025-10-22,0,9
Bihar,Arwal,2025-10-23,4,31
Bihar,Arwal,2025-10-24,21,277
Bihar,Arwal,2025-10-25,14,211
Bihar,Arwal,2025-10-26,34,260
Bihar,Arwal,2025-10-27,9,89
Bihar,Arwal,2025-10-28,5,53
Bihar,Arwal,2025-10-29,20,109
Bihar,Arwal,2025-10-30,15,120
Bihar,Arwal,2025-10-31,23,367
Bihar,Arwal,2025-11-01,29,371
Bihar,Arwal,2025-11-02,15,81
Bihar,Arwal,2025-11-03,32,426
Bihar,Arwal,2025-11-04,29,414
Bihar,Arwal,2025-11-05,10,223
Bihar,Arwal,2025-11-06,15,211
Bihar,Arwal,2025-11-07,21,223
Bihar,Arwal,2025-11-08,7,199
Bihar,Arwal,2025-11-09,1,49
Bihar,Arwal,2025-11-10,10,126
Bihar,Arwal,2025-11-11,5,51
Bihar,Arwal,2025-11-12,8,160
Bihar,Arwal,2025-11-13,43,373
Bihar,Arwal,2025-11-14,6,125
Bihar,Arwal,2025-11-15,14,195
Bihar,Arwal,2025-11-16,9,48
Bihar,Arwal,2025-11-17,6,203
Bihar,Arwal,2025-11-18,8,161
Bihar,Arwal,2025-11-19,36,262
Bihar,Arwal,2025-11-25,4,32
Bihar,Arwal,2025-11-26,6,123
Bihar,Arwal,2025-11-27,18,249
Bihar,Arwal,2025-11-28,19,213
Bihar,Arwal,2025-11-29,8,107
Bihar,Arwal,2025-12-01,18,254
Bihar,Arwal,2025-12-02,20,247
Bihar,Arwal,2025-12-03,12,198
Bihar,Arwal,2025-12-04,15,228
Bihar,Arwal,2025-12-05,16,203
Bihar,Arwal,2025-12-06,20,165
Bihar,Arwal,2025-12-07,2,57
Bihar,Arwal,2025-12-08,23,217
Bihar,Arwal,2025-12-09,15,223
Bihar,Arwal,2025-12-10,18,175
Bihar,Arwal,2025-12-11,13,210
Bihar,Arwal,2025-12-12,20,217
Bihar,Arwal,2025-12-13,8,153
Bihar,Arwal,2025-12-14,5,43
Bihar,Arwal,2025-12-15,19,207
Bihar,Arwal,2025-12-16,22,216
Bihar,Arwal,2025-12-17,17,206
Bihar,Arwal,2025-12-18,12,125
Bihar,Arwal,2025-12-19,12,136
Bihar,Arwal,2025-12-20,6,38
Bihar,Arwal,2025-12-21,7,92
Bihar,Arwal,2025-12-22,12,131
Bihar,Arwal,2025-12-23,14,164
Bihar,Arwal,2025-12-24,7,77
Bihar,Arwal,2025-12-25,6,65
