state,date,demo_age_5_17,demo_age_17_plus
Bihar,2025-03-01,67587,693836
Bihar,2025-04-01,1050,6172
Bihar,2025-05-01,381,5692
Bihar,2025-07-01,628,7889
Bihar,2025-09-01,3445,41354
Bihar,2025-09-02,4474,57696
Bihar,2025-09-03,2617,35485
Bihar,2025-09-04,3137,50295
Bihar,2025-09-05,2047,41844
Bihar,2025-09-06,3911,62868
Bihar,2025-09-07,1246,26605
Bihar,2025-09-08,3998,74340
Bihar,2025-09-09,4373,80178
Bihar,2025-09-10,3976,76150
Bihar,2025-09-11,3732,66704
Bihar,2025-09-12,4138,72390
Bihar,2025-09-13,2643,44058
Bihar,2025-09-14,993,18981
Bihar,2025-09-15,3418,50893
Bihar,2025-09-16,2884,48762
Bihar,2025-09-17,2125,34050
Bihar,2025-09-18,3445,56002
Bihar,2025-09-19,3262,58397
Bihar,2025-09-20,3755,68333
Bihar,2025-10-13,2216,44158
Bihar,2025-10-15,6496,80208
Bihar,2025-10-16,6182,74975
Bihar,2025-10-17,3953,59790
Bihar,2025-10-18,4395,53435
Bihar,2025-10-19,4527,45646
Bihar,2025-10-20,1216,12301
Bihar,2025-10-21,1485,10545
Bihar,2025-10-22,206,1171
Bihar,2025-10-23,443,3248
Bihar,2025-10-24,4679,58254
Bihar,2025-10-25,3440,40573
Bihar,2025-10-26,3489,47601
Bihar,2025-10-27,1812,19023
Bihar,2025-10-28,1408,10678
Bihar,2025-10-29,2817,20423
Bihar,2025-10-30,2414,26169
Bihar,2025-10-31,4091,52851
Bihar,2025-11-01,3532,45571
Bihar,2025-11-02,1933,20778
Bihar,2025-11-03,5053,55629
Bihar,2025-11-04,3593,55212
Bihar,2025-11-05,3466,40681
Bihar,2025-11-06,3494,34226
Bihar,2025-11-07,2156,38036
Bihar,2025-11-08,1941,32907
Bihar,2025-11-09,768,13467
Bihar,2025-11-10,2104,32381
Bihar,2025-11-11,1391,22313
Bihar,2025-11-12,1913,28872
Bihar,2025-11-13,3969,37716
Bihar,2025-11-14,2858,25015
Bihar,2025-11-15,3152,34518
Bihar,2025-11-16,1468,11196
Bihar,2025-11-17,3130,37674
Bihar,2025-11-18,1870,23565
Bihar,2025-11-19,3004,38393
Bihar,2025-11-25,623,4406
Bihar,2025-11-26,1159,17770
Bihar,2025-11-27,2888,41051
Bihar,2025-11-28,2607,29736
Bihar,2025-11-29,2063,23582
Bihar,2025-12-01,4456,44940
Bihar,2025-12-02,2660,34539
Bihar,2025-12-03,2539,31722
Bihar,2025-12-04,2486,34499
Bihar,2025-12-05,2341,30627
Bihar,2025-12-06,2552,33893
Bihar,2025-12-07,998,12852
Bihar,2025-12-08,2979,39494
Bihar,2025-12-09,2924,38850
Bihar,2025-12-10,2902,38278
Bihar,2025-12-11,2720,37666
Bihar,2025-12-12,2697,36034
Bihar,2025-12-13,1832,24268
Bihar,2025-12-14,773,9811
Bihar,2025-12-15,2196,31795
Bihar,2025-12-16,2712,40537
Bihar,2025-12-17,2358,35754
Bihar,2025-12-18,2148,29024
Bihar,2025-12-19,1755,20907
Bihar,2025-12-20,1654,16783
Bihar,2025-12-21,594,7044
Bihar,2025-12-22,1939,22473
Bihar,2025-12-23,2117,25834
Bihar,2025-12-24,2057,26228
Bihar,2025-12-25,912,14822
Bihar,2025-12-26,2047,28125
Bihar,2025-12-27,1215,19708
Bihar,2025-12-28,1696,12724
Bihar,2025-12-29,1929,20700
Bihar,2025-12-31,1437,27202
Bihar,2026-01-01,990,14291
Bihar,2026-01-02,2015,14048
Bihar,2026-01-03,399,6775
